City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
2,Gat,IL,82.78,clear sky,31.61,34.7642,OlusHome
4,Lufilufi,WS,80.38,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
6,Komsomolskiy,UZ,93.99,clear sky,40.4272,71.7189,Ikathouse
11,Kendari,ID,85.14,heavy intensity rain,-3.945,122.4989,Hotel Wixel
12,Hithadhoo,MV,82.6,broken clouds,-0.6,73.0833,Scoop Guest House
13,Rikitea,PF,70.48,broken clouds,-23.1203,-134.9692,People ThankYou
15,Biak,ID,73.4,overcast clouds,-0.9131,122.8766,Penginapan Kim
17,Arvin,US,85.01,few clouds,35.2091,-118.8284,Geo Rizo
19,Miandrivazo,MG,74.3,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
20,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
21,Hilo,US,80.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Guerrero Negro,MX,71.19,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
23,Sao Jose Da Coroa Grande,BR,72.73,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
24,Danshui,CN,88.59,scattered clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
26,Bom Jesus,BR,73.47,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
28,Sao Joao Da Barra,BR,68.45,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
29,Isangel,VU,77.41,scattered clouds,-19.55,169.2667,Tanna Lodge
30,Caravelas,BR,70.61,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
31,Xining,CN,80.8,scattered clouds,36.6167,101.7667,Super Leisure Hotel
35,Bontang,ID,82.96,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
36,Teeli,RU,70.14,clear sky,51.0333,90.2333,
37,Hovd,MN,68.99,scattered clouds,48.0056,91.6419,Hotel Khovd
41,Albany,US,73.81,broken clouds,42.6001,-73.9662,
42,Torbay,CA,67.57,overcast clouds,47.6666,-52.7314,Gallows Cove
44,Cabo San Lucas,MX,87.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
45,Grosse Pointe Park,US,77.14,clear sky,42.3759,-82.9374,Riverside Hospitality Jad House
46,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Alize Plage
48,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
49,Jamestown,US,71.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
50,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
53,Richards Bay,ZA,66.06,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
55,Avera,US,77.05,overcast clouds,33.194,-82.5271,
57,Aksarka,RU,72.66,broken clouds,66.5606,67.7975,
60,Qena,EG,92.48,scattered clouds,26.1615,32.7183,"Grand hotel ""Quena"""
65,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
66,Yatou,CN,92.07,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
70,Ribeira Grande,PT,74.95,broken clouds,38.5167,-28.7,Quinta da Meia Eira
72,Teahupoo,PF,71.56,light rain,-17.8333,-149.2667,Vanira Lodge
73,Vila Franca Do Campo,PT,72.01,light rain,37.7167,-25.4333,Pestana Bahia Praia
76,Karratha,AU,76.41,clear sky,-20.7377,116.8463,ibis Styles Karratha
77,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
78,Oum Hadjer,TD,77.56,overcast clouds,13.2954,19.6966,
79,Cairns,AU,93.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
80,Charters Towers,AU,86.4,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
86,San Policarpo,PH,81.7,overcast clouds,12.1791,125.5072,Agapita M. Nicart
87,Tirumullaivasal,IN,87.85,overcast clouds,11.2333,79.8333,
88,Vuktyl,RU,77.92,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
89,Bayan,CN,84.29,clear sky,46.0833,127.4,Wanhao Inn
91,Khatanga,RU,67.89,light rain,71.9667,102.5,"""Khatanga"""
93,Dubuque,US,73.99,clear sky,42.4833,-90.8668,American Inn and Suites
95,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Dillon,US,77.11,broken clouds,34.4166,-79.3712,Dillon Express Inn
97,Sobradinho,BR,66.0,scattered clouds,-12.8333,-39.1,Pousada Pau Brasil
99,Cabedelo,BR,70.47,few clouds,-6.9811,-34.8339,Pousada Camboinha
100,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
101,Saint-Joseph,RE,73.78,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
102,Scottsbluff,US,77.29,light rain,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
103,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
104,Okhtyrka,UA,73.67,broken clouds,50.3104,34.8988,У нас як вдома
107,Kamenka,RU,80.06,clear sky,51.3223,42.7678,
109,Lorengau,PG,84.22,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
112,Atuona,PF,77.41,few clouds,-9.8,-139.0333,Villa Enata
117,Berbera,SO,91.67,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
119,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
122,Mapiripan,CO,71.76,light rain,2.8892,-72.1256,Monserrate
123,Ukiah,US,66.36,few clouds,39.1502,-123.2078,Hampton Inn Ukiah
125,Tuktoyaktuk,CA,66.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
126,Atambua,ID,81.12,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
127,Atar,MR,84.97,clear sky,20.5169,-13.0499,Oumou Elghoura
129,Mount Isa,AU,78.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
131,Hirara,JP,89.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
133,Dashitou,CN,84.67,scattered clouds,43.3067,128.5114,Shengzeyuan Fashion Hotel
134,Tiznit,MA,81.1,scattered clouds,29.5833,-9.5,
137,Seoul,KR,90.79,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
140,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
142,Saint-Philippe,RE,74.79,clear sky,-21.3585,55.7679,Le four à pain
143,Vao,NC,73.47,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
145,Soroti,UG,73.99,light rain,1.7146,33.6111,Strikers Hotel
146,Singaparna,ID,86.43,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
147,Samarai,PG,81.23,broken clouds,-10.6167,150.6667,Nuli Sapi
148,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
149,Sinnamary,GF,76.08,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
151,Cervo,ES,66.6,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
153,San Patricio,US,84.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
154,Merritt Island,US,84.09,clear sky,28.5392,-80.672,
155,Roebourne,AU,76.62,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
157,Tateyama,JP,78.76,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
159,Kalaleh,IR,85.6,few clouds,37.3807,55.4916,کلاله
160,Krasnoselkup,RU,70.14,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
162,Urucara,BR,73.18,few clouds,-2.5364,-57.76,Pousada Maria Bonita
163,San Quintin,MX,70.63,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
165,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
166,Sibenik,HR,82.06,clear sky,43.7272,15.9058,Hotel Jadran
167,Maues,BR,71.17,few clouds,-3.3836,-57.7186,Hotel Miramar
168,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
169,Balingasay,PH,81.97,moderate rain,16.3573,119.8564,Rock Garden Resort
170,Bambanglipuro,ID,83.19,few clouds,-7.95,110.2833,Puri Brata
172,Seguela,CI,70.52,overcast clouds,7.9611,-6.6731,Hotel le Carrefour
173,Padang,ID,87.85,few clouds,-0.9492,100.3543,Mercure Padang
174,Golden,US,77.2,clear sky,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
179,Yeppoon,AU,74.98,broken clouds,-23.1333,150.7333,Villa Mar Colina
180,San Jose,US,67.78,few clouds,37.3394,-121.895,The Westin San Jose
182,Toamasina,MG,66.2,few clouds,-18.1667,49.3833,Hotel H1
183,Ternate,ID,82.2,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
186,Mingyue,CN,89.71,broken clouds,43.1069,128.9217,安图土地大厦
188,Airai,TL,69.8,scattered clouds,-8.9266,125.4092,
190,Lyuban,BY,72.63,clear sky,52.7985,28.0048,"Gostinitsa ""Oressa"""
191,Butaritari,KI,82.44,light rain,3.0707,172.7902,Isles Sunset Lodge
193,Masvingo,ZW,67.15,clear sky,-20.0637,30.8277,River Side Lodge
194,Lixourion,GR,80.6,scattered clouds,38.2019,20.4314,Hotel Summery
195,Dingle,PH,85.39,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
197,Save,BJ,68.02,broken clouds,8.0425,2.486,Le Cercle du Rail
198,Tura,IN,80.85,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
200,Meadow Lake,US,78.28,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
201,Matamoros,MX,78.01,scattered clouds,25.5333,-103.25,Quinta Belem
202,Bubaque,GW,79.97,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
203,Baltiysk,RU,65.16,overcast clouds,54.6538,19.911,Guest house on Vzmorye
204,Palafrugell,ES,80.71,clear sky,41.9174,3.1631,Hotel La Torre
207,Bengkulu,ID,83.61,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
210,Alihe,CN,84.94,clear sky,50.5667,123.7167,Alihe Forestry Hotel
211,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,Heritage Hotel
216,Katsuura,JP,77.92,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
218,Fairview,US,80.42,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
219,Mbandaka,CD,71.19,light rain,0.0487,18.2603,Guest House Epervier
220,Miechow,PL,72.91,overcast clouds,50.3565,20.0279,Piwnica
221,Sfantu Gheorghe,RO,76.86,few clouds,45.8667,25.7833,Hotel Park
224,Qostanay,KZ,80.89,clear sky,53.1667,63.5833,Hotel Fessla
225,Umm Lajj,SA,88.79,broken clouds,25.0213,37.2685,Moon light Furnished Units
226,Saint Anthony,US,79.18,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
229,Tambopata,PE,70.34,overcast clouds,-12.7333,-69.1833,Enashawa Lodge
230,Vangaindrano,MG,69.53,clear sky,-23.35,47.6,Hotel Fanilo
232,Nikolskoye,RU,79.72,broken clouds,59.7035,30.7861,Tourist House - Sablino
233,Avezzano,IT,75.18,few clouds,42.0402,13.4388,Hotel Velino
239,Pinawa,CA,65.73,overcast clouds,50.1489,-95.8811,Pinawa Motel
240,Arraial Do Cabo,BR,69.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
241,Mocuba,MZ,68.72,few clouds,-16.8392,36.9856,Phama Lodge
242,El Dorado,US,69.17,overcast clouds,38.7666,-120.5177,South Fork Group Campground
244,Krasnaya Gora,RU,72.23,clear sky,52.9995,31.6023,
245,Chifeng,CN,94.53,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
