City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Bluff,NZ,-46.6,168.3333,52.27,75,31,11.5,scattered clouds
Kapaa,US,22.0752,-159.319,80.58,84,40,8.05,moderate rain
Gat,IL,31.61,34.7642,82.78,100,0,4.59,clear sky
Inhambane,MZ,-23.865,35.3833,60.78,100,20,3.44,fog
Lufilufi,WS,-13.8745,-171.5986,80.38,69,25,13.76,scattered clouds
Dikson,RU,73.5069,80.5464,41.95,99,100,10.78,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,93.99,18,0,8.01,clear sky
Olafsvik,IS,64.8945,-23.7142,52.43,94,100,9.86,overcast clouds
Provideniya,RU,64.3833,-173.3,49.08,71,48,12.46,scattered clouds
Xuanzhou,CN,30.9525,118.7553,100.36,41,37,3.47,scattered clouds
Ushuaia,AR,-54.8,-68.3,33.46,86,0,4.61,clear sky
Kendari,ID,-3.945,122.4989,85.14,59,99,5.35,heavy intensity rain
Hithadhoo,MV,-0.6,73.0833,82.6,72,78,11.07,broken clouds
Rikitea,PF,-23.1203,-134.9692,70.48,59,76,16.37,broken clouds
Hobart,AU,-42.8794,147.3294,49.26,75,20,10.36,few clouds
Biak,ID,-0.9131,122.8766,73.4,94,100,1.59,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,5.75,clear sky
Arvin,US,35.2091,-118.8284,85.01,53,24,2.82,few clouds
Christchurch,NZ,-43.5333,172.6333,53.8,94,75,4.61,light rain
Miandrivazo,MG,-19.5167,45.4667,74.3,49,1,0.94,clear sky
Avarua,CK,-21.2078,-159.775,73.45,73,75,6.91,broken clouds
Hilo,US,19.7297,-155.09,80.28,96,100,8.05,heavy intensity rain
Guerrero Negro,MX,27.9769,-114.0611,71.19,87,23,11.36,few clouds
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,72.73,86,55,5.44,broken clouds
Danshui,CN,22.7984,114.4672,88.59,65,47,9.15,scattered clouds
Thompson,CA,55.7435,-97.8558,46.56,93,100,14.97,overcast clouds
Bom Jesus,BR,-9.0744,-44.3586,73.47,56,68,4.12,broken clouds
Gravdal,NO,68.1214,13.5031,52.0,90,100,26.13,light rain
Sao Joao Da Barra,BR,-21.6403,-41.0511,68.45,84,1,13.33,clear sky
Isangel,VU,-19.55,169.2667,77.41,77,45,8.14,scattered clouds
Caravelas,BR,-17.7125,-39.2481,70.61,85,13,8.1,few clouds
Xining,CN,36.6167,101.7667,80.8,50,48,4.94,scattered clouds
Batagay-Alyta,RU,67.8006,130.4114,45.3,93,100,4.85,moderate rain
Codrington,AU,-38.2667,141.9667,54.77,74,65,8.01,broken clouds
Yulara,AU,-25.2406,130.9889,64.62,19,0,5.93,clear sky
Bontang,ID,0.1333,117.5,82.96,75,72,8.05,heavy intensity rain
Teeli,RU,51.0333,90.2333,70.14,32,2,5.82,clear sky
Hovd,MN,48.0056,91.6419,68.99,38,40,9.64,scattered clouds
Roald,NO,62.5833,6.1333,54.75,87,75,11.5,broken clouds
La Ronge,CA,55.1001,-105.2842,50.22,87,20,5.75,few clouds
Qaanaaq,GL,77.484,-69.3632,35.64,65,38,4.85,scattered clouds
Albany,US,42.6001,-73.9662,73.81,90,82,2.77,broken clouds
Torbay,CA,47.6666,-52.7314,67.57,92,100,21.85,overcast clouds
Busselton,AU,-33.65,115.3333,58.96,64,99,15.39,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,87.62,72,77,8.05,broken clouds
Grosse Pointe Park,US,42.3759,-82.9374,77.14,91,0,4.61,clear sky
Saint-Pierre,RE,-21.3393,55.4781,74.88,58,100,3.44,overcast clouds
Narsaq,GL,60.9167,-46.05,46.62,97,100,2.48,light rain
Saint George,US,37.1041,-113.5841,87.64,41,0,5.75,clear sky
Jamestown,US,42.097,-79.2353,71.71,72,0,1.01,clear sky
Tiarei,PF,-17.5333,-149.3333,77.02,81,66,28.95,light rain
Chokurdakh,RU,70.6333,147.9167,60.71,42,24,9.22,few clouds
Tiksi,RU,71.6872,128.8694,41.4,82,100,14.07,overcast clouds
Richards Bay,ZA,-28.783,32.0377,66.06,79,0,5.84,clear sky
Cherskiy,RU,68.75,161.3,57.49,44,100,4.76,overcast clouds
Avera,US,33.194,-82.5271,77.05,88,94,6.11,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,58.82,75,93,8.08,overcast clouds
Aksarka,RU,66.5606,67.7975,72.66,49,56,10.18,broken clouds
Ancud,CL,-41.8697,-73.8203,37.76,90,6,7.47,clear sky
